Check-in Date,Check-out Date,Price in NZD,URL
2024-09-08,2024-09-09,245,https://www.airbnb.co.nz/rooms/1141075033936083504?check_in=2024-09-08&guests=3&adults=3&check_out=2024-09-09&source_impression_id=p3_1716375187_DzCQ/fil4FkTfY2q
2024-09-09,2024-09-10,245,https://www.airbnb.co.nz/rooms/1141075033936083504?check_in=2024-09-09&guests=3&adults=3&check_out=2024-09-10&source_impression_id=p3_1716375187_DzCQ/fil4FkTfY2q
2024-09-10,2024-09-11,245,https://www.airbnb.co.nz/rooms/1141075033936083504?check_in=2024-09-10&guests=3&adults=3&check_out=2024-09-11&source_impression_id=p3_1716375187_DzCQ/fil4FkTfY2q
2024-09-11,2024-09-12,245,https://www.airbnb.co.nz/rooms/1141075033936083504?check_in=2024-09-11&guests=3&adults=3&check_out=2024-09-12&source_impression_id=p3_1716375187_DzCQ/fil4FkTfY2q
2024-09-12,2024-09-13,245,https://www.airbnb.co.nz/rooms/1141075033936083504?check_in=2024-09-12&guests=3&adults=3&check_out=2024-09-13&source_impression_id=p3_1716375187_DzCQ/fil4FkTfY2q
2024-09-15,2024-09-16,245,https://www.airbnb.co.nz/rooms/1141075033936083504?check_in=2024-09-15&guests=3&adults=3&check_out=2024-09-16&source_impression_id=p3_1716375187_DzCQ/fil4FkTfY2q
2024-09-16,2024-09-17,245,https://www.airbnb.co.nz/rooms/1141075033936083504?check_in=2024-09-16&guests=3&adults=3&check_out=2024-09-17&source_impression_id=p3_1716375187_DzCQ/fil4FkTfY2q
2024-09-17,2024-09-18,245,https://www.airbnb.co.nz/rooms/1141075033936083504?check_in=2024-09-17&guests=3&adults=3&check_out=2024-09-18&source_impression_id=p3_1716375187_DzCQ/fil4FkTfY2q
2024-09-18,2024-09-19,245,https://www.airbnb.co.nz/rooms/1141075033936083504?check_in=2024-09-18&guests=3&adults=3&check_out=2024-09-19&source_impression_id=p3_1716375187_DzCQ/fil4FkTfY2q
2024-09-19,2024-09-20,245,https://www.airbnb.co.nz/rooms/1141075033936083504?check_in=2024-09-19&guests=3&adults=3&check_out=2024-09-20&source_impression_id=p3_1716375187_DzCQ/fil4FkTfY2q
2024-09-22,2024-09-23,245,https://www.airbnb.co.nz/rooms/1141075033936083504?check_in=2024-09-22&guests=3&adults=3&check_out=2024-09-23&source_impression_id=p3_1716375187_DzCQ/fil4FkTfY2q
2024-09-23,2024-09-24,245,https://www.airbnb.co.nz/rooms/1141075033936083504?check_in=2024-09-23&guests=3&adults=3&check_out=2024-09-24&source_impression_id=p3_1716375187_DzCQ/fil4FkTfY2q
2024-09-24,2024-09-25,245,https://www.airbnb.co.nz/rooms/1141075033936083504?check_in=2024-09-24&guests=3&adults=3&check_out=2024-09-25&source_impression_id=p3_1716375187_DzCQ/fil4FkTfY2q
2024-09-25,2024-09-26,245,https://www.airbnb.co.nz/rooms/1141075033936083504?check_in=2024-09-25&guests=3&adults=3&check_out=2024-09-26&source_impression_id=p3_1716375187_DzCQ/fil4FkTfY2q
2024-09-26,2024-09-27,245,https://www.airbnb.co.nz/rooms/1141075033936083504?check_in=2024-09-26&guests=3&adults=3&check_out=2024-09-27&source_impression_id=p3_1716375187_DzCQ/fil4FkTfY2q
2024-09-29,2024-09-30,245,https://www.airbnb.co.nz/rooms/1141075033936083504?check_in=2024-09-29&guests=3&adults=3&check_out=2024-09-30&source_impression_id=p3_1716375187_DzCQ/fil4FkTfY2q
2024-09-30,2024-10-01,245,https://www.airbnb.co.nz/rooms/1141075033936083504?check_in=2024-09-30&guests=3&adults=3&check_out=2024-10-01&source_impression_id=p3_1716375187_DzCQ/fil4FkTfY2q
2024-10-01,2024-10-02,245,https://www.airbnb.co.nz/rooms/1141075033936083504?check_in=2024-10-01&guests=3&adults=3&check_out=2024-10-02&source_impression_id=p3_1716375187_DzCQ/fil4FkTfY2q
2024-10-02,2024-10-03,245,https://www.airbnb.co.nz/rooms/1141075033936083504?check_in=2024-10-02&guests=3&adults=3&check_out=2024-10-03&source_impression_id=p3_1716375187_DzCQ/fil4FkTfY2q
2024-10-03,2024-10-04,245,https://www.airbnb.co.nz/rooms/1141075033936083504?check_in=2024-10-03&guests=3&adults=3&check_out=2024-10-04&source_impression_id=p3_1716375187_DzCQ/fil4FkTfY2q
2024-10-06,2024-10-07,245,https://www.airbnb.co.nz/rooms/1141075033936083504?check_in=2024-10-06&guests=3&adults=3&check_out=2024-10-07&source_impression_id=p3_1716375187_DzCQ/fil4FkTfY2q
2024-10-07,2024-10-08,245,https://www.airbnb.co.nz/rooms/1141075033936083504?check_in=2024-10-07&guests=3&adults=3&check_out=2024-10-08&source_impression_id=p3_1716375187_DzCQ/fil4FkTfY2q
